station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature,RPI_unit,DO(Electrode)_unit,BOD5_unit,SS_unit,NH3-N_unit,pH_unit,temperature_unit
USGS-15007990,56.0451222,-130.040261,CASCADE R NR HYDER AK,,8.8,,,,7.4,3.7,,ug/l QSE,,,,std units,deg C
USGS-15008000,56.025815,-130.0669823,SALMON R NR HYDER AK,,2.5,,34,,7.6,2.6,,ug/l QSE,,mg/l,,std units,deg C
USGS-15008010,56.0280222,-130.0732889,TEXAS C NR HYDER AK,,,,,,,,,,,,,,
USGS-15015593,56.25791667,-130.8202778,UNUK R 1 MI AB BLUE RIVER NR WRANGELL AK,,3.0,,1,,7.9,3.7,,RFU,,mg/l,,std units,deg C
USGS-15015594,56.25056667,-130.8428528,BLUE R NR WRANGELL AK,,5.3,,1,0.32,7.5,3.8,,RFU,,mg/l,mg/l,std units,deg C
USGS-15015595,56.2402062,-130.8819864,UNUK R BL BLUE R NR WRANGELL AK,,5.0,,1,0.27,7.3,1.1,,RFU,,mg/l,mg/l,std units,deg C
USGS-15024800,56.70772188,-132.1319653,STIKINE R NR WRANGELL AK,,4.2,,,0.22,7.8,2.1,,RFU,,,mg/l,std units,deg C
USGS-15041140,58.5813556,-133.6553546,TAKU R AT US/CANADA BORDER NR JUNEAU AK,,1.7,,,,8.1,9.7,,ug/l QSE,,,,std units,deg C
USGS-15041200,58.53829828,-133.7017432,TAKU R NR JUNEAU AK,,9.2,,2,0.29,7.5,0.8,,RFU,,mg/l,mg/l,std units,deg C
USGS-15056540,59.4396745,-136.2843568,TR TO KLEHINI R AT MILE 37 NR HAINES AK,,,,,0.130,,,,,,,mg/l,,
USGS-15056560,59.412726,-135.998797,KLEHINI R NR KLUKWAN AK,,,,,,8.3,6.8,,,,,,std units,deg C
USGS-15129120,59.1928056,-138.3339167,ALSEK R AT DRY BAY NR YAKUTAT AK,,1.5,,,,9.2,1.2,,ug/l QSE,,,,std units,deg C
USGS-15209770,61.48468889,-142.8866167,NATIONAL C NR MCCARTHY AK,,,,,,8.2,2.8,,,,,,std units,deg C
USGS-15292700,62.3464388,-150.019201,TALKEETNA R NR TALKEETNA AK,,,,,,,0.0,,,,,,,deg C
USGS-15304010,61.8893006,-158.156842,CROOKED C AB AIRPORT RD NR CROOKED CREEK AK,,,,,,,6.1,,,,,,,deg C
USGS-15565447,61.9336866,-162.8829356,YUKON R AT PILOT STATION AK,,,,52,0.36,7.1,0.0,,,,%,mg/l,std units,deg C
